config,metric,kind,n,mean,median,stdev,min,max,ci95_low,ci95_high,wilson_low,wilson_high,cohens_d,cohens_h,cliffs_delta,mann_whitney_U,p_value,significant,effect_size_interpretation,undefined_reason
remove_HC+PE,replay_integrity,proportional,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008529294061119083,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_HC+PE,evidence_completeness,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC+PE,predicate_pass_rate,proportional,0,,,,,,,,,,,,,,,,,"predicate_engine disabled: no predicate is evaluated, so coverage is 0 and the pass rate is vacuously 1 (nothing can fail)"
remove_HC+PE,revocation_compliance,proportional,225,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9832134489943798,1.0,,0.0,0.0,24187.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_HC+PE,hash_chain_integrity,proportional,71,0.014084507042253521,0.0,0.11783944035691205,0.0,1.0,0.0,0.04225352112676056,0.002490603270544213,0.07556050520249005,,-2.9037,-0.9859,35.5,0.0,True,Cohen's h=-2.9037 (large); Cliff's delta=-0.9859 (large),
remove_HC+PE,blind_runtime_detection,composite,300,0.5,0.5,0.0,0.5,0.5,0.5,0.5,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-8.061096449722985 (large); Cliff's delta=-1.0 (large),
remove_HC+PE,predicate_coverage,composite,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-10.142337741635655 (large); Cliff's delta=-1.0 (large),"predicate_engine disabled: no predicate is evaluated, so coverage is 0 and the pass rate is vacuously 1 (nothing can fail)"
remove_HC+PE,runtime_integrity_score,composite,300,0.3358607198748047,0.33568075117370894,0.0023600468835515737,0.3333333333333333,0.34507042253521125,0.3333333333333333,0.34037558685446007,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=-55.9350905272387 (large); Cliff's delta=-1.0 (large),
remove_HC+PE,ledger_integrity,deterministic,,,,,,,,,,,,,,,,,,
remove_EQ+RV,latency_ms,distributional,4500,1.140469299777775,1.0440415,0.4801008767863124,0.09375,22.187125,1.1272981321277777,1.1557738025444446,,,-1.0975,,-0.8421,1598907.0,0.0,True,Cohen's d=-1.0975 (large); Cliff's delta=-0.8421 (large),
remove_EQ+RV,runtime_overhead_ms,distributional,4500,0.0024027164444444748,0.001666,0.021502440327740492,0.001083,1.437333,0.002035459205555556,0.0030946912999999993,,,0.0654,,0.5632,4422182.0,0.0,True,Cohen's d=0.0654 (negligible); Cliff's delta=0.5632 (large),
remove_EQ+RV,throughput_dec_per_s,distributional,4500,922.1016109704193,957.8163381402242,230.5427572344486,45.0711843017065,10666.666666666666,915.8524308266727,929.1457501416124,,,1.5694,,0.8421,1598907.0,0.0,True,Cohen's d=1.5694 (large); Cliff's delta=0.8421 (large),
remove_EQ+RV,blind_decision_accuracy,proportional,4500,0.956,1.0,0.20509509989270833,0.0,1.0,0.9502222222222222,0.962,0.9496086568735477,0.9616134715080781,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ+RV,undetected_risk_rate,proportional,79,0.5189873417721519,1.0,0.49963935078457095,0.0,1.0,0.4050632911392405,0.6329113924050633,0.4105110559940594,0.6257026954621209,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ+RV,benign_flag_rate,proportional,4421,0.035512327527708665,0.0,0.18507080299516024,0.0,1.0,0.030536077810450125,0.040940963582899795,0.030447665585278238,0.041383486282794577,,0.0,0.0,9772620.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ+RV,blind_risk_detection_recall,proportional,79,0.4810126582278481,0.0,0.49963935078457095,0.0,1.0,0.3670886075949367,0.5949367088607594,0.37429730453787924,0.5894889440059407,,0.0,0.0,3120.5,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ+RV,replay_determinism,proportional,4500,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.999147070593888,0.9999999999999999,,0.0,0.0,10125000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ+RV,replay_integrity,proportional,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008529294061119083,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_EQ+RV,evidence_completeness,proportional,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008529294061119083,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_EQ+RV,predicate_pass_rate,proportional,45000,0.9954666666666667,1.0,0.06717724482458493,0.0,1.0,0.9948444444444444,0.9960444444444444,0.9948022869395206,0.9960464618456797,,0.0,0.0,1012500000.0,1.0,False,Cohen's h=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ+RV,revocation_compliance,proportional,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017553615486732756,,-3.1416,-1.0,0.0,0.0,True,Cohen's h=-3.1416 (large); Cliff's delta=-1.0 (large),
remove_EQ+RV,hash_chain_integrity,proportional,0,,,,,,,,,,,,,,,,,"evidence_quad disabled: no ERTuples are emitted, so the ledger has nothing to chain"
remove_EQ+RV,blind_runtime_detection,composite,300,0.7233518199346824,0.7243098466607123,0.02770737471356742,0.6265343969856643,0.7836839610978323,0.6684087493283071,0.7756504524886878,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ+RV,predicate_coverage,composite,300,0.6746666666666641,0.7,0.06651983831075424,0.5,0.7,0.5,0.7,,,,,0.0,45000.0,1.0,False,standardized bootstrap effect=0.0 (negligible); Cliff's delta=0.0 (negligible),
remove_EQ+RV,runtime_integrity_score,composite,300,0.15921134330805622,0.16666666666666666,0.01160453452784681,0.10043224002034072,0.16666666666666666,0.12941238638765587,0.16666666666666666,,,,,-1.0,0.0,0.0,True,standardized bootstrap effect=None (large); Cliff's delta=-1.0 (large),
